type,name,x,y,icon
Chateau d Angers,Chateau d Angers,47.47058068509829,-0.5588211781069718,star
Bibliotheques,Bibliotheque Toussaint,47.46923951451826,-0.5571464039375051,book
Toilettes Publiques, Toilettes Publiques 1,47.4710199493501,-0.5556103465697837,toilet
Toilettes Publiques, Toilettes Publiques 2,47.46880927210325,-0.5536689209805123,toilet
Toilettes Publiques, Toilettes Publiques 3,47.47292726835424,-0.5568318165792219,toilet
lycee Auguste et Jean Renoir,lycee Auguste et Jean Renoir,47.47481422935764,-0.5670703845470881,school
CINEMA LES 400 COUPS,CINEMA LES 400 COUPS,47.472221354199554,-0.5536198036751694,film
Esplanade coeur de Maine,Esplanade coeur de Maine,47.473236180821964,-0.5566824740649667,tree
Lycee prive Saint-Benoît,Lycee prive Saint-Benoit,47.469368480739945,-0.5515754038755993,school
Lycee Sacre-Coeur La salle,Lycee Sacre-Coeur La salle,47.47268497769594,-0.5565179849447621,school
Cathedrale Saint-Maurice,Cathedrale Saint-Maurice,47.47063792581712,-0.5550327388458531,church
Musee Jean Lurcat et de la Tapisserie Contemporaine,Musee Jean Lurcat et de la Tapisserie Contemporaine,47.47790282985124,-0.5584927885874147,building-columns
lieu_ajoutÃ©,mon garage,47.4699704,-0.5529915,star
